epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,20678.1,1.02157,0.69306,0.00651,0.84924,0.79718,0.86288,0.63197,1.06471,0.95505,0.007,0.000363239,0.000363239,0.000363239
81,20936.5,1.02404,0.6756,0.00636,0.84364,0.81005,0.86887,0.63168,1.06247,0.93868,0.00691,0.000346736,0.000346736,0.000346736
82,21193.9,1.02001,0.66884,0.00645,0.84413,0.80955,0.8689,0.63109,1.07969,0.86858,0.00708,0.000330233,0.000330233,0.000330233
83,21453.6,1.00002,0.66198,0.00641,0.82569,0.81882,0.86232,0.6293,1.06633,0.94638,0.0071,0.000313729,0.000313729,0.000313729
84,21712.6,1.01173,0.63721,0.00641,0.84576,0.80429,0.86771,0.62628,1.06454,1.00808,0.00706,0.000297226,0.000297226,0.000297226
85,21969.7,0.99392,0.64779,0.00629,0.86169,0.79402,0.86833,0.62879,1.05975,0.92775,0.00697,0.000280723,0.000280723,0.000280723
86,22228.7,0.98129,0.62667,0.0061,0.86845,0.78261,0.86835,0.63479,1.0813,0.91007,0.00697,0.00026422,0.00026422,0.00026422
87,22486.3,0.97724,0.61104,0.00617,0.84447,0.80468,0.87269,0.63934,1.06654,0.8896,0.0069,0.000247716,0.000247716,0.000247716
88,22745.3,0.97835,0.62912,0.00596,0.83322,0.8081,0.86387,0.63073,1.06145,0.93376,0.0069,0.000231213,0.000231213,0.000231213
89,23004.6,0.99502,0.63228,0.00629,0.87436,0.79944,0.87975,0.6445,1.0544,0.88585,0.00692,0.00021471,0.00021471,0.00021471
90,23262.2,0.95921,0.60977,0.00593,0.86256,0.80589,0.87586,0.64182,1.06377,0.9041,0.00702,0.000198206,0.000198206,0.000198206
91,23520.9,0.91852,0.49586,0.00613,0.87832,0.78194,0.87379,0.63524,1.09508,0.91822,0.00713,0.000181703,0.000181703,0.000181703
92,23777.6,0.91434,0.50195,0.00607,0.87289,0.79439,0.87451,0.6361,1.08181,0.90672,0.00707,0.0001652,0.0001652,0.0001652
93,24036.7,0.90144,0.49233,0.00616,0.8622,0.80773,0.87297,0.63803,1.0652,0.92006,0.00684,0.000148696,0.000148696,0.000148696
94,24296.2,0.90541,0.49042,0.00596,0.86544,0.79776,0.87719,0.63898,1.08732,0.90622,0.00697,0.000132193,0.000132193,0.000132193
95,24553.4,0.90224,0.47286,0.00587,0.87621,0.78832,0.87671,0.63861,1.06687,0.93816,0.00694,0.00011569,0.00011569,0.00011569
96,24812.2,0.90032,0.47641,0.00595,0.87133,0.79852,0.87663,0.64093,1.05173,0.93714,0.00681,9.91865e-05,9.91865e-05,9.91865e-05
97,25069.3,0.88277,0.47531,0.00592,0.87119,0.80102,0.87606,0.64151,1.05902,0.91881,0.00676,8.26832e-05,8.26832e-05,8.26832e-05
98,25328,0.88693,0.47437,0.00574,0.86198,0.80683,0.87799,0.64394,1.05128,0.92667,0.00671,6.61799e-05,6.61799e-05,6.61799e-05
99,25586.6,0.88088,0.44809,0.00581,0.87378,0.79701,0.8751,0.64441,1.05721,0.92327,0.00678,4.96766e-05,4.96766e-05,4.96766e-05
100,25842.9,0.87694,0.46032,0.00561,0.87733,0.79549,0.87397,0.64187,1.06738,0.91475,0.00679,3.31733e-05,3.31733e-05,3.31733e-05
